date,pm25,pm10,o3,no2,so2,co
2018/3/29,80,45,50,19,13,5
2018/3/30,75,32,52,21,8,5
2018/3/31,58,38,58,27,6,7
2017/10/1,34,21,20,22,2,10
2017/10/2,37,21,19,22,2,8
2017/10/3,32,22,13,18,2,7
2017/10/4,41,24,22,18,3,7
2017/10/5,37,23,25,22,5,8
2017/10/6,42,41,48,30,6,10
2017/10/7,69,31,47,25,2,8
2017/10/8,62,30,52,28,3,9
2017/10/9,63,37,28,23,3,8
2017/10/10,59,21,15,21,4,7
2017/10/11,33,20,17,20,2,7
2017/10/12,29,22,21,20,2,7
2017/10/13,35,28,41,21,3,7
2017/10/14,47,34,43,20,4,7
2017/10/15,73,17,18,16,1,6
2017/10/16,30,25,23,23,2,7
2017/10/17,39,46,37,30,4,8
2017/10/18,76,48,43,38,21,12
2017/10/19,84,52,45,36,9,11
2017/10/20,80,51,54,37,4,10
2017/10/21,74,46,30,27,4,8
2017/10/22,64,26,19,20,2,7
2017/10/23,43,24,23,18,2,6
2017/10/24,41,20,30,20,2,6
2017/10/25,38,54,67,49,8,12
2017/10/26,93,57,53,46,7,13
